Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
01-01-2013,5001,5001,4925,4951.600098,4349.473145,4220,0
02-01-2013,4988.950195,5050,4932,4974.299805,4369.413086,45666,0
03-01-2013,4975.049805,4979.799805,4866,4899.200195,4303.446777,21674,0
04-01-2013,4905.299805,4935,4862.600098,4875.850098,4282.93457,12996,0
07-01-2013,4949.850098,4949.850098,4852.350098,4874.149902,4281.442383,30739,0
08-01-2013,4875,4918.950195,4867.649902,4894.950195,4299.711426,117547,0
09-01-2013,4881.350098,4964.899902,4880,4947.700195,4346.04834,31909,0
10-01-2013,4948,4975.950195,4840,4857.950195,4267.211426,22108,0
11-01-2013,4894.600098,4895.950195,4819.950195,4839.600098,4251.091797,11815,0
14-01-2013,4979.950195,4980,4876.299805,4894.950195,4299.711426,17080,0
15-01-2013,4880.149902,4899.200195,4821.450195,4857.299805,4266.640137,14141,0
16-01-2013,4856.950195,4872.75,4826,4839.200195,4250.742188,4513,0
17-01-2013,4878.899902,4878.899902,4791,4797.549805,4214.156738,7807,0
18-01-2013,4831.700195,4859.899902,4786.600098,4797,4213.673828,13335,0
21-01-2013,4852,4852,4782,4794.850098,4211.787109,13066,0
22-01-2013,4776,4827.649902,4681,4700.75,4129.126953,12694,0
23-01-2013,4779.799805,4779.799805,4475,4503.100098,3955.512451,49043,0
24-01-2013,4550.200195,4574,4510.149902,4549.299805,3996.093262,14506,0
25-01-2013,4550.049805,4670,4524,4650.100098,4084.636719,15375,0
28-01-2013,4698,4698,4570.049805,4596.850098,4037.861572,26792,0
29-01-2013,4690,4690,4562.350098,4602.450195,4042.779785,24267,0
30-01-2013,4635.200195,4698,4602,4649.200195,4083.846191,15340,0
31-01-2013,4651,4797.100098,4621.450195,4745.549805,4168.479492,35395,0
01-02-2013,4670.149902,4789.899902,4634.200195,4692.649902,4122.011719,23148,0
04-02-2013,4747,4760,4655,4739.649902,4163.297363,8728,0
05-02-2013,4789.799805,4789.799805,4701.600098,4745.5,4168.436523,23112,0
06-02-2013,4761.950195,4783,4706.5,4715.600098,4142.17041,3672,0
07-02-2013,4743.200195,4770,4701,4705.049805,4132.904785,3140,0
08-02-2013,4717.049805,4759.200195,4632,4643.399902,4078.751953,9467,0
11-02-2013,4657.450195,4710,4570.350098,4604.549805,4044.624756,25377,0
12-02-2013,4656,4656.649902,4580,4622.649902,4060.524902,23744,0
13-02-2013,4608.5,4647.700195,4599.899902,4612.700195,4051.783936,13528,0
14-02-2013,4620.25,4633.899902,4570,4597.700195,4038.609131,33865,0
15-02-2013,4582.049805,4607,4565.100098,4597.450195,4038.38916,7213,0
18-02-2013,4605,4620.799805,4557,4566.899902,4011.554199,14948,0
19-02-2013,4589.600098,4604.899902,4571.149902,4598.899902,4039.663086,4883,0
20-02-2013,4651.799805,4651.799805,4581,4604.200195,4044.318115,350936,0
21-02-2013,4600,4645,4572.649902,4593.5,4034.919189,98113,0
22-02-2013,4644.649902,4747.700195,4608,4629.100098,4066.190186,77755,0
25-02-2013,4606.399902,4689.899902,4600,4654.549805,4099.615723,49964,0
26-02-2013,4615.399902,4665.450195,4601.100098,4617.350098,4066.85083,22988,0
27-02-2013,4632.600098,4699,4625.149902,4670.049805,4113.268555,85135,0
28-02-2013,4699.850098,4789.850098,4699.799805,4761.799805,4194.078613,158717,0
01-03-2013,4760,4779.799805,4680.049805,4696.850098,4136.873047,7694,0
04-03-2013,4716.149902,4764.899902,4714,4738.799805,4173.821777,22273,0
05-03-2013,4722.600098,4750,4685,4725,4161.666016,26862,0
06-03-2013,4749.899902,4750,4720,4735.75,4171.134766,44725,0
07-03-2013,4713.399902,4729.899902,4700,4709.5,4148.012695,5617,0
08-03-2013,4728.950195,4775,4712.649902,4768.649902,4200.111328,20236,0
11-03-2013,4751.450195,4797.899902,4710,4721.649902,4158.71582,10874,0
12-03-2013,4705,4769,4675,4697.950195,4137.843262,4088,0
13-03-2013,4687,4725,4669.950195,4688.700195,4129.693848,7714,0
14-03-2013,4685.100098,4730,4675.049805,4706.299805,4145.196289,5463,0
15-03-2013,4700,4818,4629.649902,4725.200195,4161.844238,33258,0
18-03-2013,4735,4759.799805,4655.549805,4677,4119.389648,36278,0
19-03-2013,4698.950195,4705,4640,4679.5,4121.591309,13171,0
20-03-2013,4700,4710,4640,4699.899902,4139.55957,12928,0
21-03-2013,4625,4774.700195,4625,4756.5,4189.409668,14619,0
22-03-2013,4725,4754.75,4660,4706.75,4145.591797,13594,0
25-03-2013,4681.25,4867.700195,4566,4610.25,4060.5979,140430,0
26-03-2013,4590.049805,4636.100098,4555,4567.950195,4023.340576,39066,0
28-03-2013,4599.950195,4619.75,4533,4588.200195,4041.175293,27763,0
01-04-2013,4675,4679.899902,4600,4622.850098,4071.694336,9775,0
02-04-2013,4581,4640,4581,4622.049805,4070.990723,4837,0
03-04-2013,4610,4660,4610,4645.899902,4091.996826,6997,0
04-04-2013,4605.200195,4649.75,4535,4552.600098,4009.821777,6671,0
05-04-2013,4625,4625,4433,4454.299805,3923.239746,19451,0
08-04-2013,4500.049805,4524.950195,4448.100098,4452.850098,3921.964111,7608,0
09-04-2013,4515,4515,4440,4460.100098,3928.348877,5571,0
10-04-2013,4514.899902,4530,4460,4513.799805,3975.647461,121812,0
11-04-2013,4600,4600,4500,4511.799805,3973.883301,41826,0
12-04-2013,4490,4540,4472.649902,4520.700195,3981.724854,9713,0
15-04-2013,4525,4598,4525,4585.299805,4038.621338,7486,0
16-04-2013,4584.899902,4620,4551.649902,4619.399902,4068.657227,28847,0
17-04-2013,4650,4679.850098,4602,4662.149902,4106.30957,59251,0
18-04-2013,4689,4689,4609,4670.799805,4113.927246,21655,0
22-04-2013,4610,4710,4610,4698,4137.885254,50694,0
23-04-2013,4675.100098,4704,4632.049805,4655.549805,4100.496094,87560,0
25-04-2013,4707,4725,4611.549805,4714.100098,4152.067383,18087,0
26-04-2013,4615,4749.899902,4615,4730.149902,4166.203125,19089,0
29-04-2013,4750,4775,4718.399902,4734.950195,4170.429199,16744,0
30-04-2013,4712,5060,4712,4981.350098,4387.453613,225762,0
02-05-2013,4969.600098,4969.600098,4855.100098,4927.799805,4340.287598,47424,0
03-05-2013,4870,4936.75,4870,4905,4320.206055,6023,0
06-05-2013,4899.950195,4938.75,4890,4895.600098,4311.926758,2939,0
07-05-2013,4899,4919.700195,4875,4885.100098,4302.678223,5409,0
08-05-2013,4885,4947.850098,4884.899902,4929.700195,4341.960938,11628,0
09-05-2013,4933,4935,4900,4915.549805,4329.498047,13686,0
10-05-2013,4900,4930.899902,4882.649902,4899,4314.920898,25671,0
13-05-2013,4900,4949,4762.350098,4848.200195,4270.178223,28518,0
14-05-2013,4839.950195,4899.799805,4839.950195,4881.049805,4299.111328,56994,0
15-05-2013,4851,4960,4851,4939,4350.154785,12927,0
16-05-2013,4853.25,4974,4853.25,4927.149902,4339.715332,42477,0
17-05-2013,4949.950195,4989.899902,4912.950195,4975.049805,4381.903809,37254,0
20-05-2013,4975.049805,5130,4969.75,5105.100098,4496.449707,154555,0
21-05-2013,5110.100098,5270,5108.5,5245.600098,4620.197754,48664,0
22-05-2013,5260,5325,5185,5239.799805,4615.089844,28739,0
23-05-2013,5290,5350,5200,5271.299805,4642.833496,58390,0
24-05-2013,5308,5308,5190,5239.649902,4614.957031,14912,0
27-05-2013,5239.649902,5308.899902,5195,5226.5,4603.374512,11410,0
28-05-2013,5200.200195,5271.75,5200.200195,5251.549805,4625.438965,3537,0
29-05-2013,5251,5300,5206.149902,5249.75,4623.854492,42997,0
30-05-2013,5245.049805,5249.899902,5198.950195,5232.5,4608.660645,5029,0
31-05-2013,5250.049805,5324,5230.100098,5302.25,4670.094727,26090,0
03-06-2013,5225,5300,5225,5289.25,4658.644043,11026,0
04-06-2013,5233,5347,5233,5291.100098,4660.274902,7957,0
05-06-2013,5300,5349.700195,5250,5283.950195,4653.975586,9910,0
06-06-2013,5300,5327.899902,5250.049805,5295.5,4664.148926,16572,0
07-06-2013,5280,5321,5232.549805,5253.049805,4626.759766,6911,0
10-06-2013,5299,5299,5150,5167.049805,4551.013184,13085,0
11-06-2013,5161,5180,5085,5095.200195,4487.729492,13332,0
12-06-2013,5145,5236,5090,5154.649902,4540.090332,35954,0
13-06-2013,5106,5190,5100,5114.649902,4504.860352,15497,0
14-06-2013,5114.700195,5185.549805,5105.25,5144.799805,4531.415527,13864,0
17-06-2013,5130.049805,5150,5053,5071.5,4466.856445,19907,0
18-06-2013,5080.049805,5100,5050,5060.799805,4457.432617,2470,0
19-06-2013,5079.899902,5114.950195,5060,5087.149902,4480.639648,3619,0
20-06-2013,5070.649902,5100,5040.049805,5050.149902,4448.050293,9332,0
21-06-2013,5056,5099.950195,5002.350098,5028.649902,4429.11377,7811,0
24-06-2013,5026,5028,5004.450195,5014.600098,4416.738281,9139,0
25-06-2013,5024,5024,4880.200195,4910.25,4324.830078,33468,0
26-06-2013,4891,4941.049805,4846,4873.5,4292.460938,12716,0
27-06-2013,4856,5017,4856,4900.5,4316.243164,12040,0
28-06-2013,4900.850098,4935,4820,4854,4275.287109,14285,0
01-07-2013,4869.350098,5120,4827,5102.25,4493.939453,16434,0
02-07-2013,5126.899902,5195,5092,5170.899902,4554.404785,12105,0
03-07-2013,5170,5188.950195,5045.850098,5061.350098,4457.914551,12946,0
04-07-2013,5095,5165,5086,5126.75,4515.519043,14448,0
05-07-2013,5145,5180,5126.5,5151.200195,4537.054199,19280,0
08-07-2013,5179.799805,5180.549805,5115,5133.600098,4521.552246,19300,0
09-07-2013,5148,5170.049805,5146.399902,5153.049805,4538.682617,13172,0
10-07-2013,5151.049805,5180,5149.950195,5153.950195,4539.476074,17903,0
11-07-2013,5174.799805,5220,5161,5212.549805,4591.088379,19621,0
12-07-2013,5213,5428.5,5198,5399.450195,4755.706055,31484,0
15-07-2013,5390,5573,5389.950195,5564.649902,4901.209473,24172,0
16-07-2013,5565,5700,5020,5687.25,5009.192871,29284,0
17-07-2013,5685,5787,5675.399902,5742.799805,5058.121582,31320,0
18-07-2013,5725,5800,5616.350098,5732.899902,5049.401855,18827,0
19-07-2013,5677,5760,5677,5702.649902,5022.755371,21471,0
22-07-2013,5708.5,5715,5605.149902,5629.700195,4958.505371,17975,0
23-07-2013,5635.450195,5696.799805,5631,5664.450195,4989.111328,8153,0
24-07-2013,5648,5650,5560,5620.950195,4950.79834,5225,0
25-07-2013,5590.049805,5668.049805,5532,5578.450195,4913.365234,9144,0
26-07-2013,5533,5584,5412.200195,5449.700195,4799.966797,18904,0
29-07-2013,5450,5472,5351,5382.5,4740.777344,14839,0
30-07-2013,5395,5395,5301,5303.700195,4671.372559,7415,0
31-07-2013,5324,5324,5223.549805,5293.5,4678.264648,10433,0
01-08-2013,5280,5345,5199.950195,5250.799805,4640.527832,10501,0
02-08-2013,5251.200195,5494,5205.200195,5428.149902,4797.266113,13595,0
05-08-2013,5420,5420,5224.950195,5315.450195,4697.665039,8993,0
06-08-2013,5275,5275,5095,5113.450195,4519.140625,28306,0
07-08-2013,5125,5125,4920,4952.399902,4376.80957,14836,0
08-08-2013,4952.049805,5089.75,4859.950195,5010.850098,4428.465332,11050,0
12-08-2013,5010,5129.950195,4963.399902,5114.25,4519.849121,5606,0
13-08-2013,5111.899902,5148.899902,5026.649902,5101.549805,4508.624512,4266,0
14-08-2013,5060,5150,5051,5113.899902,4519.539063,11409,0
16-08-2013,5113.899902,5113.899902,4950,4985.649902,4406.194824,9443,0
19-08-2013,5097.700195,5097.700195,4875.100098,4911.25,4340.441406,11943,0
20-08-2013,4900,4900.049805,4760,4832.5,4270.844238,29068,0
21-08-2013,4870,4929.950195,4850,4866.149902,4300.58252,11084,0
22-08-2013,4945,4945,4810,4872.25,4305.974609,5159,0
23-08-2013,4851.100098,4933.899902,4851.100098,4883.149902,4315.608398,27416,0
26-08-2013,4860,4997,4855,4876,4309.287109,6713,0
27-08-2013,4860,4870.149902,4700,4702.75,4156.175293,9808,0
28-08-2013,4774,4774,4565.5,4620.950195,4083.879883,40471,0
29-08-2013,4585,4716.899902,4585,4675.700195,4132.268555,8697,0
30-08-2013,4699.649902,4950,4699.649902,4896.700195,4327.583496,47755,0
02-09-2013,4897,4980,4889.950195,4967.149902,4389.845703,10984,0
03-09-2013,4822.299805,4974.950195,4822.299805,4922.649902,4350.516602,15216,0
04-09-2013,4925.049805,5028.850098,4925,4981.149902,4402.217285,36843,0
05-09-2013,4932.100098,5096.850098,4929.950195,4998.100098,4417.199707,21076,0
06-09-2013,5025,5039.799805,4955,5008.350098,4426.255371,17841,0
10-09-2013,5010,5055.100098,4990,5010.75,4428.375977,20737,0
11-09-2013,5000,5100,4999,5054.100098,4466.688477,62990,0
12-09-2013,5001,5050,4960,4986.25,4406.726074,16802,0
13-09-2013,4986.25,5002,4936,4958.350098,4382.068359,25642,0
16-09-2013,4975,5026.5,4770,4852.799805,4288.784668,9897,0
17-09-2013,4872,5018.899902,4850,4981.049805,4402.12793,17163,0
18-09-2013,5000.950195,5035,4935.200195,5018.950195,4435.624023,18827,0
19-09-2013,5020.350098,5060.100098,4989.850098,5029.299805,4444.772949,60602,0
20-09-2013,4990,5040,4933.399902,5024.700195,4440.705566,7553,0
23-09-2013,4975,5038.700195,4900,4943,4368.50293,19049,0
24-09-2013,4925.049805,4997.850098,4883.399902,4936.799805,4363.023438,14139,0
25-09-2013,5000,5000,4903.049805,4941.5,4367.174805,20900,0
26-09-2013,4985,5080,4951,5034.399902,4449.27832,121040,0
27-09-2013,5070,5124,4992,5098.100098,4505.575195,24799,0
30-09-2013,5081.100098,5279,5081.100098,5219.549805,4612.909668,33685,0
01-10-2013,5148,5220,5111.049805,5190.5,4587.23584,21305,0
03-10-2013,5200.200195,5250,5101,5157.049805,4557.672852,26837,0
04-10-2013,5219,5219,5055,5082.100098,4491.435059,18305,0
07-10-2013,5110,5110,5033.399902,5070.399902,4481.096191,24809,0
08-10-2013,5069.950195,5069.950195,5002.100098,5013.649902,4430.941406,5996,0
09-10-2013,5029,5095.950195,5002.049805,5057.399902,4469.60498,24578,0
10-10-2013,5093,5129,5037,5115.149902,4520.643555,22797,0
11-10-2013,5116,5119,5021,5054.75,4467.262695,9147,0
14-10-2013,5099.299805,5110,5052,5093.299805,4501.333496,12623,0
15-10-2013,5111,5368.950195,5100,5288.25,4673.625488,74963,0
17-10-2013,5305.549805,5518.700195,5305.549805,5468.399902,4832.836914,89874,0
18-10-2013,5492,5569.950195,5492,5529.549805,4886.878906,54203,0
21-10-2013,5535,5578.799805,5462.200195,5510.5,4870.043945,24666,0
22-10-2013,5539.799805,5640,5512.350098,5604.649902,4953.251465,28120,0
23-10-2013,5610.649902,5651.700195,5572.200195,5619.200195,4966.110352,18920,0
24-10-2013,5600,5625,5502.5,5562.399902,4915.912109,7454,0
25-10-2013,5500,5552.149902,5500,5533.200195,4890.105469,10914,0
28-10-2013,5500,5600,5395.25,5576,4927.930664,16085,0
29-10-2013,5530,5608.25,5510,5592.25,4942.29248,21207,0
30-10-2013,5599.950195,5604.950195,5512.100098,5597.350098,4946.799805,23304,0
31-10-2013,5520,5600.25,5520,5596.950195,4946.446289,47672,0
01-11-2013,5594,5747.899902,5591,5716,5067.958496,58751,0
05-11-2013,5735,5798.899902,5699,5732.850098,5082.897949,29934,0
06-11-2013,5695,5725,5580,5607.399902,4971.671875,28120,0
07-11-2013,5600.200195,5751,5600.200195,5735.75,5085.469727,42990,0
08-11-2013,5700,5844,5660,5763.149902,5109.763672,117812,0
11-11-2013,5700,5773.950195,5590,5615.149902,4978.541992,29174,0
12-11-2013,5630,5725,5630,5661.350098,5019.504395,20390,0
13-11-2013,5620,5709.950195,5580.299805,5599.350098,4964.532715,31544,0
14-11-2013,5630,5675,5606.100098,5643,5003.233887,23346,0
18-11-2013,5655,5700.450195,5622,5674.450195,5031.119141,47371,0
19-11-2013,5705,5705,5581.950195,5603.899902,4968.568359,40999,0
20-11-2013,5605,5623.75,5517.049805,5548.200195,4919.182617,29692,0
21-11-2013,5575,5585,5470,5490.799805,4868.290039,75959,0
22-11-2013,5580,5582.950195,5422.399902,5458.450195,4839.60791,60751,0
25-11-2013,5480,5535,5390,5435.899902,4819.614258,113016,0
26-11-2013,5448,5494,5111,5298.649902,4697.924805,746123,0
27-11-2013,5215,5553,5156,5437.049805,4820.634766,264618,0
28-11-2013,5375,5384,5200,5224.399902,4632.091309,82022,0
29-11-2013,5245,5266,5111,5145.049805,4561.739258,69683,0
02-12-2013,5180,5244,5160,5187.899902,4599.730957,26676,0
03-12-2013,5210,5224.899902,5080,5099.049805,4520.953125,25971,0
04-12-2013,5095,5144.799805,5013.5,5032.799805,4462.214844,24826,0
05-12-2013,5020,5144,5020,5095.299805,4517.629395,22708,0
06-12-2013,5082,5126,5042,5067.549805,4493.025879,27042,0
09-12-2013,5105.049805,5147.149902,5021,5040.5,4469.04248,46911,0
10-12-2013,5025,5089.899902,5010,5021.100098,4451.841309,37364,0
11-12-2013,5022,5037.850098,4990,5004.049805,4436.723633,20244,0
12-12-2013,5039.799805,5075,4997,5007.75,4440.004883,23140,0
13-12-2013,4978,5042,4895,4920.75,4362.868652,28675,0
16-12-2013,4950,5113.899902,4925.049805,5048.899902,4476.48877,31915,0
17-12-2013,5015,5198,5015,5174.25,4587.629883,45111,0
18-12-2013,5151,5250,5151,5236.700195,4642.999023,74008,0
19-12-2013,5250,5375,5177,5331.649902,4727.183105,57376,0
20-12-2013,5282,5530,5282,5464.200195,4844.706543,54174,0
23-12-2013,5498,5545,5400,5504.700195,4880.614746,54610,0
24-12-2013,5520,5545,5370.950195,5399.25,4787.118652,27138,0
26-12-2013,5411,5443.700195,5350,5363.450195,4755.37793,12052,0
27-12-2013,5373,5450.25,5328,5339.25,4733.921387,9382,0
30-12-2013,5340,5395,5331,5349.549805,4743.054199,15329,0
31-12-2013,5351,5382,5260,5289.25,4689.59082,11585,0
01-01-2014,5290,5343,5290,5311.799805,4709.584473,6358,0
02-01-2014,5325.75,5354,5193.950195,5280.149902,4681.521484,25984,0
03-01-2014,5365,5600,5311,5333.600098,4728.911621,91165,0
06-01-2014,5376,5444,5340,5387.649902,4776.834961,25288,0
07-01-2014,5413.950195,5440,5365,5381.899902,4771.737305,19645,0
08-01-2014,5394.899902,5427.899902,5379.899902,5422.399902,4807.645508,20048,0
09-01-2014,5425,5435,5365,5372.850098,4763.712891,8235,0
10-01-2014,5390,5450,5351,5405.950195,4793.060059,29411,0
13-01-2014,5440,5447.950195,5380,5426.899902,4811.633789,17380,0
14-01-2014,5410,5414.950195,5351,5379.450195,4769.564941,16904,0
15-01-2014,5360,5400,5215,5237.149902,4643.397949,27664,0
16-01-2014,5260,5320,5125,5130.350098,4548.705078,25175,0
17-01-2014,5150,5265,5150,5238.049805,4644.194336,24567,0
20-01-2014,5224,5229,5181.799805,5200.899902,4611.256836,8983,0
21-01-2014,5200.899902,5202,5150,5177.25,4590.289551,8048,0
22-01-2014,5175,5175.149902,5135,5144.799805,4561.517578,15903,0
23-01-2014,5190,5190,5075,5083.549805,4507.210938,45061,0
24-01-2014,5083.549805,5123,5068,5081.200195,4505.127441,35944,0
27-01-2014,5066,5121,5021,5050.100098,4477.553223,13535,0
28-01-2014,5050,5059.149902,4950,4959.350098,4397.093262,16842,0
29-01-2014,4990,5041,4962,5033.200195,4462.569824,23174,0
30-01-2014,5010,5033.200195,4925,4945.799805,4385.079102,22742,0
31-01-2014,5039,5091,4902.399902,5047.149902,4474.938965,36790,0
03-02-2014,4993,5047.299805,4920,4938.649902,4378.739746,20562,0
04-02-2014,4920,5010.75,4920,4960.450195,4398.067871,19822,0
05-02-2014,4962,5038.899902,4960,5013.149902,4444.792969,27946,0
06-02-2014,4985.299805,5029.75,4980.100098,4999.549805,4432.734375,23324,0
07-02-2014,5000,5040,5000,5016.25,4447.541016,31810,0
10-02-2014,5000,5041,4986.049805,5034.549805,4463.767578,13372,0
11-02-2014,5005.299805,5134.549805,5005.299805,5057.899902,4484.469727,21365,0
12-02-2014,5023,5115,5023,5055.399902,4482.252441,58546,0
13-02-2014,5100,5198,5075.049805,5098.850098,4520.777344,46941,0
14-02-2014,5085,5140,5050,5082.850098,4506.590332,20048,0
17-02-2014,5000,5084.700195,4950,5004.299805,4436.946289,80190,0
18-02-2014,4965,5047,4965,5024.75,4455.079102,11263,0
19-02-2014,5034.399902,5080.049805,5028.799805,5058.100098,4484.647949,12194,0
20-02-2014,5033,5063.700195,5031.049805,5043.399902,4471.612305,43415,0
21-02-2014,5012,5080,5012,5057.25,4483.89209,30584,0
24-02-2014,5022,5064.950195,5009.950195,5043.200195,4471.4375,98368,0
25-02-2014,5015,5043.899902,4980.100098,5000.649902,4433.708496,65242,0
26-02-2014,4965,5023.899902,4965,4998.799805,4432.069336,107454,0
28-02-2014,4982.100098,5013.549805,4774.850098,4864.5,4312.995605,849082,0
03-03-2014,4861,4875.100098,4632,4656.899902,4128.931152,58905,0
04-03-2014,4675,4720,4647,4710.5,4176.455566,30490,0
05-03-2014,4735,4824.950195,4715,4777.049805,4235.460449,33003,0
06-03-2014,4775,4885,4775,4863.399902,4312.02002,26772,0
07-03-2014,4873.399902,4930,4856.75,4910.899902,4354.133301,47856,0
10-03-2014,4920,4929,4763,4800.5,4256.252441,31069,0
11-03-2014,4875,4875,4762.5,4798.799805,4254.744141,12620,0
12-03-2014,4809.799805,4819.450195,4780,4794.399902,4250.84375,16791,0
13-03-2014,4801.200195,4816.950195,4750,4786,4243.39502,22001,0
14-03-2014,4796.799805,4796.799805,4712,4758.649902,4219.145996,33516,0
18-03-2014,4815,4900,4711.600098,4791.200195,4248.004883,31733,0
19-03-2014,4809.799805,4857.5,4800.100098,4820.5,4273.985352,27111,0
20-03-2014,4846,4846,4805.25,4825.350098,4278.285645,11438,0
21-03-2014,4820,4865,4720,4731.399902,4194.98584,32688,0
22-03-2014,null,null,null,null,null,null,0
